"indicativo","nombre","provincia","altitud","latitud","longitud","mu_smooth","sigma_smooth","xi_smooth","rl20_mean","rl20_sd","rl50_mean","rl50_sd","rl100_mean","rl100_sd"
"6057X","MANILVA","MALAGA",140,36.3783333333333,-5.26,60.9762602467962,19.7077663400343,0.093933350191903,128.779698044309,8.11589186193198,154.228030452003,10.0763661985531,174.816889169971,11.7114568284037
"6058I","ESTEPONA","MALAGA",19,36.4169444444444,-5.155,59.2549948925501,19.6624115482863,0.0938007016458132,126.869620719549,7.72732757125984,152.243652647567,9.64274617419155,172.769459836729,11.2350094803721
"6069X","BENAHAV<U+00CD>S","MALAGA",392,36.5436111111111,-5.02472222222222,71.7458146274085,24.2054942159879,0.0935942384671551,154.947899494546,9.33829426555718,186.161556290026,11.673297403038,211.407130454796,13.6145487396303
"6076X","MARBELLA, PUERTO","MALAGA",2,36.4844444444444,-4.95305555555556,59.0187351630928,20.54088828133,0.0940095915623553,129.671543046495,7.98434962981102,156.196612814684,9.96367816587935,177.657794341121,11.6171134783202
"6083X","MARBELLA","MALAGA",2,36.4833333333333,-4.74027777777778,51.3640045923283,18.9080062333917,0.0943551194397723,116.537478681498,8.65607877602475,141.009751101497,10.8200915864504,160.814644500585,12.6032691949172
"6084X","FUENGIROLA","MALAGA",8,36.5386111111111,-4.61833333333333,53.3973663158094,19.5514931845812,0.0939894101629151,120.613372885895,6.9672791110929,145.854166302955,8.7978758198728,166.275705686354,10.3278645408914
"6088X","TORREMOLINOS","MALAGA",85,36.6205555555556,-4.515,57.5413541806547,20.979875723096,0.0938006745629978,129.727869951461,8.73800388893939,156.813948268155,10.931071712344,178.725124422809,12.7532869388492
"6100B","ANTEQUERA AYUNTAMIENTO (AUTOM<U+00C1>TICA THIES)","MALAGA",515,37.0238888888889,-4.5625,36.34749945004,11.5764244818421,0.0938978927119218,76.1673165126464,4.56857792218156,91.1148553848137,5.72229091837751,103.207666202906,6.68575976083453
"6106X","ANTEQUERA","MALAGA",408,37.0294444444444,-4.74833333333333,34.2828091179927,11.4997331533756,0.093762796294727,73.8299591151889,4.59775578427606,88.6708546355627,5.7525294899024,100.676075509018,6.71485257171984
"6127X","<U+00C1>LORA","MALAGA",172,36.8547222222222,-4.69666666666667,42.353983500012,15.0429112431656,0.0943034699011773,94.192976071587,6.83060532396875,113.657585370642,8.52133149006039,129.409541487031,9.91778966660336
"6143X","CO<U+00CD>N","MALAGA",230,36.6577777777778,-4.76083333333333,62.533217450735,23.1481900752438,0.0942785351705232,142.327114173902,10.789647943031,172.292161012978,13.5899878723585,196.54203967772,15.9068177909208
"6155A","M<U+00C1>LAGA AEROPUERTO","MALAGA",7,36.6661111111111,-4.48222222222222,58.8314052619171,21.1291238944542,0.0943099872707209,131.394148889247,5.39825166395993,158.672081571556,6.90703495634653,180.747710650732,8.1943024531812
"6156X","M<U+00C1>LAGA, CENTRO METEOROL<U+00D3>GICO","MALAGA",54,36.7177777777778,-4.48166666666667,49.0048292428017,18.0113307120407,0.0938560798993647,110.959590426411,7.16262069265327,134.21413802699,9.01137755328388,153.02685108355,10.5514497849063
"6172X","M<U+00C1>LAGA","MALAGA",25,36.7166666666667,-4.41972222222222,44.2487079222273,15.9613050360941,0.0936950679795125,99.2157027748312,7.533958995065,119.829904874055,9.39518083963298,136.504835826006,10.9404940039594
"6175X","RINC<U+00D3>N DE LA VICTORIA","MALAGA",7,36.715,-4.28611111111111,47.1160701037222,16.6830455305022,0.093935125440892,104.517914684788,6.7747367234595,126.065019777824,8.50372301800257,143.497321750621,9.94057115617738
"6199X","V<U+00C9>LEZ-M<U+00C1>LAGA","MALAGA",41,36.7686111111111,-4.09361111111111,42.1470602910603,14.3614159798698,0.0937905462232733,91.9460430836705,10.3604773407093,110.562612631037,12.6046897680848,125.622140443226,14.4418117039301
"6201X","ALGARROBO","MALAGA",35,36.7558333333333,-4.04388888888889,43.559407274397,14.7507268531064,0.0940125459029505,94.284243754922,5.49559500710226,113.331985406191,6.90895306324931,128.743516119099,8.09493186468303
